5000,Vamos Mexico
5001,Aztecún
5002,CIT Campeche
5003,Mexico sin ti no estamos completos
5004,Educando en Coahuila
5005,Infonavit Durango
5006,Reconstrucción del templo de Guadalupe
5007,Construcción de plaza Magnolias
5008,Televisa en acción
5009,Disco Atlantic
5010,Construcciónn de Hospital Infantil
5011,Remodelación de aulas del IPP
5012,Restauración de instalaciones del CEA
5013,Reparación de la plaza Sonora
5014,Remodelación de Soriana
5015,CIT Yucatan
5016,Ampliación de la carretera a la huasteca
5017,Reparación de la carretera del sol
5018,Tu cambio por la educación
5019,Querétaro limpio
